Event_ID,Database,ID,Date/Time,Nearest_town,State,Latitude,Longitude,Comments
31801,Wind,5721,17/06/2010 0:00,BALLARAT,VIC,-37.5632,143.8554,Damaging winds smashed in studio doors and brought down power lines.
31801,Wind,5722,17/06/2010 0:00,MOUNT PLEASANT,VIC,-37.5856,143.8596,17 jobs at Mt Pleasant all in a line - possible tornado or microburst.
31801,Wind,5723,17/06/2010 0:05,MELTON SOUTH,VIC,-37.7043,144.5702,30 foot branch brought down in high winds with heavy rain and hail.
31801,Wind,5724,17/06/2010 0:35,ST KILDA ROAD,VIC,-37.8354,144.9716,"Various AWS reports around Melbourne with line of TS/SH. 51kts PTWI at 10:14am, 54kts YLVT at 10:20am, 51kts YMML at 10:26am, 57kts FAWK at 10:34am, 61kts STK at 10:35am."
31801,Wind,5720,17/06/2010 0:45,NORTHCOTE,VIC,-37.7772,144.997,Damage to a worksite at Northcote.
31801,Wind,5719,17/06/2010 2:00,WANGARATTA,VIC,-36.3555,146.3257,"Extensive damage in the central and western side of Wangaratta. Trees uprooted, power lines down and structural damage to buildings. 47knot wind gust at Wangaratta AWS at 12:09pm."
31801,Wind,5672,17/06/2010 2:30,BEECHWORTH,VIC,-36.3624,146.6879,Trees broken/uprooted at Beechworth.
31801,Wind,5671,17/06/2010 3:00,TAWONGA SOUTH,VIC,-36.726,147.1478,Trees broken/uprooted at Tawonga Sth.
31801,Rain,3419,17/06/2010 3:00,TAWONGA SOUTH,VIC,-36.726,147.1478,Gutters and downpipes overflowing at Tawonga Sth.
31812,Hail,3087,1/01/2010 8:00,KINGLAKE WEST,VIC,-37.5151,145.2446,Report of 2cm hail covering the ground but time only mentioned as 'late'. Report wasn't received until the following day.
31813,Wind,5698,16/01/2010 18:30,PORTLAND,VIC,-38.3461,141.6019,Roof damage to 1 to 2 houses - possible waterspout
31814,Wind,5699,17/01/2010 13:15,EDITHVALE,VIC,-38.0386,145.1118,Minor roof damage to 4 houses and 1 fence down - possible waterspout.
31814,Hail,3088,17/01/2010 15:30,FERNTREE GULLY,VIC,-37.8855,145.2942,Hail mostly 5mm but up to 20mm. Also flash flooding.
31814,Rain,3454,17/01/2010 15:30,FERNTREE GULLY,VIC,-37.8855,145.2942,Hail mostly 5mm but up to 20mm. Also flash flooding.
31815,Wind,5700,31/01/2010 3:10,MARYBOROUGH,VIC,-37.0479,143.7347,Branches snapped.
31815,Rain,3455,31/01/2010 3:10,MARYBOROUGH,VIC,-37.0479,143.7347,
31816,Rain,3456,4/02/2010 5:00,SANDY POINT,VIC,-38.8301,146.1244,Time in report not specific (afternoon).
31816,Rain,3457,4/02/2010 5:00,FOSTER,VIC,-38.6558,146.2024,Time in report not specific (afternoon). Flash flooding with water up to car doors.
31817,Wind,5701,9/02/2010 8:00,EAGLEHAWK,VIC,-36.7177,144.249,SES responded to about 20 jobs in total. About half for flooding and half for trees down.
31817,Rain,3458,9/02/2010 8:00,EAGLEHAWK,VIC,-36.7177,144.249,SES responded to about 20 jobs in total. About half for flooding and half for trees down.
31818,Rain,3459,10/02/2010 2:00,MELTON,VIC,-37.6838,144.5834,Heavy rain produced flooding on roads.
31818,Wind,5702,10/02/2010 2:25,STRATH CREEK,VIC,-37.24,145.2176,Fierce winds from the south. Branches broken.
31818,Rain,3460,10/02/2010 2:25,STRATH CREEK,VIC,-37.24,145.2176,Heavy rain lead to flash flooding.
31818,Rain,3461,10/02/2010 4:50,MACEDON,VIC,-37.4248,144.5612,Torrential rain and water over road on Calder Freeway near Macedon turnoff.
31818,Rain,3462,10/02/2010 5:00,WOODEND,VIC,-37.3591,144.5261,'Rivers' over Calder Freeway 4 inches deep causing cars to aquaplane into each other near the Woodend/Lancefield turnoff.
31819,Wind,5703,10/02/2010 6:00,UPPER GUNDOWRING PUBLIC HALL,VIC,-36.4924,147.0668,"Severe winds from the east. Roof blown off shed, power pole down, at least 6 large trees uprooted."
31819,Rain,3463,10/02/2010 6:00,UPPER GUNDOWRING PUBLIC HALL,VIC,-36.4924,147.0668,Reported 'wall of water' coming down creek.
31820,Wind,5704,11/02/2010 5:00,MELTON SOUTH,VIC,-37.7043,144.5702,Time of storm not noted. Leg sized branches broken.
31820,Rain,3464,11/02/2010 5:00,MELTON SOUTH,VIC,-37.7043,144.5702,
31821,Wind,5706,26/02/2010 4:00,BOUNDARY BEND,VIC,-34.7182,143.1437,Reports of trees down.
31821,Hail,3090,26/02/2010 4:00,BOUNDARY BEND,VIC,-34.7182,143.1437,
31821,Rain,3465,26/02/2010 4:00,BOUNDARY BEND,VIC,-34.7182,143.1437,No mention in report of whether flash flooding occurred.
31822,Hail,3091,27/02/2010 3:00,KNOWSLEY,VIC,-36.8268,144.5848,
31822,Tornado,1094,27/02/2010 5:15,ROCHESTER,VIC,-36.3632,144.6995,Clyve Herbert and Jane O'Neill reportedly captured 2 tornadoes on video to the SE of Rochester.
31823,Wind,5707,6/03/2010 2:30,EDDINGTON,VIC,-36.9176,143.8678,Damaging wind with trees down across roads.
31823,Rain,3466,6/03/2010 2:30,EDDINGTON,VIC,-36.9176,143.8678,Flash flooding.
31823,Hail,3139,6/03/2010 2:45,GREEN GULLY,VIC,-37.1052,144.0956,
31823,Rain,3490,6/03/2010 3:30,GREEN GULLY,VIC,-36.6718,143.671,Gutter overflow.
31824,Rain,3493,6/03/2010 2:00,ALTONA MEADOWS,VIC,-37.877,144.7806,Creeks overflowing.
31824,Rain,3496,6/03/2010 2:00,NEWPORT,VIC,-37.8455,144.8838,Gutter and roads overflowing. Most of the recorded rainfall fell in an hour but guage was only checked daily.
31824,Hail,3150,6/03/2010 2:30,CARLTON,VIC,-37.8036,144.9588,Plastic skylight broken.
31824,Hail,3130,6/03/2010 3:05,BLACKBURN,VIC,-37.8203,145.1537,Iron roofs damaged. Vehicles dented.
31824,Rain,3482,6/03/2010 3:05,BLACKBURN,VIC,-37.8203,145.1537,Gutter overflow.
31824,Hail,3092,6/03/2010 3:15,MELTON,VIC,-37.6838,144.5834,
31824,Hail,3153,6/03/2010 3:15,KYNETON,VIC,-37.2494,144.4519,Tiles cracked. Vehicles dented. Leaves stripped off trees.
31824,Rain,3467,6/03/2010 3:15,MELTON,VIC,-37.6838,144.5834,"Flash flooding, force 8 winds and golf ball sized hail."
31824,Rain,3500,6/03/2010 3:15,KYNETON,VIC,-37.2494,144.4519,Gutter overflowing. Roads awash. Structural damage. Some shops and local school hall flooded.
31824,Wind,5745,6/03/2010 3:16,NORMAN AINSWORTH RESERVE,VIC,-37.7881,144.7991,Tree branches snapped.
31824,Rain,3499,6/03/2010 3:16,NORMAN AINSWORTH RESERVE,VIC,-37.7881,144.7991,Gutter overflowing. Creeks overflowing. Roads awash. Structural damage.
31824,Hail,3095,6/03/2010 3:25,DELAHEY,VIC,-37.721,144.7761,Large hail and heavy rain.
31824,Rain,3469,6/03/2010 3:25,DELAHEY,VIC,-37.721,144.7761,Large hail and heavy rain.
31824,Hail,3093,6/03/2010 3:30,KEILOR NORTH,VIC,-37.6815,144.783,Flash flooding and 2cm hail.
31824,Hail,3138,6/03/2010 3:30,MELBOURNE,VIC,-37.8436,144.974,Windows broken. Skylight cracked.
31824,Hail,3140,6/03/2010 3:30,MOUNT WAVERLEY,VIC,-37.8776,145.1273,Windows broken.
31824,Hail,3142,6/03/2010 3:30,CARLTON,VIC,-37.8036,144.9588,
31824,Rain,3468,6/03/2010 3:30,KEILOR NORTH,VIC,-37.6815,144.783,"Flash flooding, 2cm hail."
31824,Rain,3489,6/03/2010 3:30,MELBOURNE,VIC,-37.8436,144.974,Gutter overflow. Creeks overflowing.
31824,Rain,3492,6/03/2010 3:30,CARLTON,VIC,-37.8036,144.9588,Gutter overflow. Roads awash.
31824,Hail,3145,6/03/2010 3:40,MALVERN EAST,VIC,-37.8792,145.0579,
31824,Rain,3495,6/03/2010 3:40,MALVERN EAST,VIC,-37.8792,145.0579,Gutter overflow.
31824,Hail,3155,6/03/2010 3:45,PASCOE VALE,VIC,-37.7285,144.9404,
31824,Hail,3103,6/03/2010 3:50,NORTH MELBOURNE,VIC,-37.7932,144.9382,Large hail and flash flooding.
31824,Hail,3149,6/03/2010 3:50,GLEN WAVERLEY,VIC,-37.8809,145.1636,Windows broken. Tiles cracked.
31824,Rain,3470,6/03/2010 3:50,NORTH MELBOURNE,VIC,-37.7932,144.9382,Large hail and flash flooding.
31824,Hail,3128,6/03/2010 3:52,NORTHCOTE,VIC,-37.7717,144.9937,
31824,Hail,3101,6/03/2010 4:00,ASCOT VALE,VIC,-37.7749,144.9153,Large hail stripped leaves off trees.
31824,Hail,3131,6/03/2010 4:00,MOUNT WAVERLEY,VIC,-37.8776,145.1273,Iron roofs damaged. Vehicles dented.
31824,Hail,3132,6/03/2010 4:00,MOUNT WAVERLEY,VIC,-37.8776,145.1273,Vehicles dented.
31824,Hail,3134,6/03/2010 4:00,RICHMOND,VIC,-37.8204,144.9958,
31824,Hail,3135,6/03/2010 4:00,EAST MALVERN,VIC,-37.8784,145.0681,Vehicles dented. Leaves and flowers stripped from trees.
31824,Hail,3146,6/03/2010 4:00,CARLTON,VIC,-37.8036,144.9588,Leaves stripped from trees.
31824,Hail,3147,6/03/2010 4:00,GLEN IRIS,VIC,-37.8631,145.0651,Windows broken. Tiles cracked. Crops flattened. Door and window frames diveted and paint removed.
31824,Hail,3152,6/03/2010 4:00,MOUNT WAVERLEY,VIC,-37.8776,145.1273,
31824,Hail,3157,6/03/2010 4:00,KNOXFIELD,VIC,-37.892,145.2463,
31824,Rain,3483,6/03/2010 4:00,MOUNT WAVERLEY,VIC,-37.8776,145.1273,Gutter overflow. Roads awash. Creeks overflowing. Volume of water estimated at 4 times drainage capacity.
31824,Rain,3485,6/03/2010 4:00,RICHMOND,VIC,-37.8204,144.9958,Gutter overflow. Roads awash. Creeks overflowing.
31824,Rain,3486,6/03/2010 4:00,EAST MALVERN,VIC,-37.8784,145.0681,Gutter overflow. Roads awash. Creeks overflowing.
31824,Hail,3154,6/03/2010 4:04,MOUNT WAVERLEY,VIC,-37.8776,145.1273,Leaves stripped off trees.
31824,Hail,3129,6/03/2010 4:05,OLINDA,VIC,-37.8577,145.3642,
31824,Hail,3104,6/03/2010 4:10,HEATHMONT,VIC,-37.8316,145.2409,
31824,Hail,3137,6/03/2010 4:10,MOUNT WAVERLEY,VIC,-37.8776,145.1273,Vehicles dented.
31824,Hail,3156,6/03/2010 4:10,MOUNT WAVERLEY,VIC,-37.8776,145.1273,Windows broken.
31824,Hail,3158,6/03/2010 4:10,GLEN WAVERLEY,VIC,-37.8809,145.1636,
31824,Rain,3488,6/03/2010 4:10,MOUNT WAVERLEY,VIC,-37.8776,145.1273,Gutter overflow. Roads awash. Creeks overflowing.
31824,Rain,3501,6/03/2010 4:10,GLEN WAVERLEY,VIC,-37.8809,145.1636,Gutter overflowing.
31824,Hail,3102,6/03/2010 4:15,GLEN WAVERLEY,VIC,-37.8809,145.1636,Golf ball sized hail.
31824,Hail,3136,6/03/2010 4:15,BORONIA,VIC,-37.8638,145.2856,Vehicles dented. Crops flattened.
31824,Hail,3144,6/03/2010 4:15,BURWOOD,VIC,-37.852,145.1075,
31824,Rain,3487,6/03/2010 4:15,BORONIA,VIC,-37.8638,145.2856,Gutter overflow. Roads awash. Creeks overflowing.
31824,Hail,3141,6/03/2010 4:18,CHADSTONE CENTRE,VIC,-37.8876,145.0793,
31824,Rain,3491,6/03/2010 4:18,CHADSTONE CENTRE,VIC,-37.8876,145.0793,Gutter overflow.
31824,Hail,3105,6/03/2010 4:20,FERNTREE GULLY,VIC,-37.8855,145.2942,
31824,Hail,3106,6/03/2010 4:30,FERNTREE GULLY,VIC,-37.8855,145.2942,"Bureau staff member reported plenty of 50mm hailstones, some that were joined together to make a 100mm stone that broke apart on impact."
31824,Hail,3133,6/03/2010 4:30,FERNY CREEK,VIC,-37.8727,145.3446,Windows broken. Tiles cracked. Iron roofs damaged. Vehicles dented. Windscreens broken. Crops flattened.
31824,Hail,3143,6/03/2010 4:30,HEATHMONT,VIC,-37.8316,145.2409,
