State,NSP,Start,Finish,Network_Asset,Impact,Recall,Status
VIC,AusNet,"17/09/2021 06:30
Friday","17/09/2021 19:00
Friday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
 Between Victoria and New South Wales.
 Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"18/09/2021 06:30
Saturday","18/09/2021 19:00
Saturday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
 Between Victoria and New South Wales.
 Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"19/09/2021 06:30
Sunday","19/09/2021 19:00
Sunday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
 Between Victoria and New South Wales.
 Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"20/09/2021 06:30
Monday","20/09/2021 19:00
Monday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
 Between Victoria and New South Wales.
 Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"21/09/2021 07:00
Tuesday","21/09/2021 19:00
Tuesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
 Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
 Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,TOA,"21/09/2021 07:00
Tuesday","21/09/2021 17:00
Tuesday",Ararat - Crowland 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 2.5 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"22/09/2021 07:00
Wednesday","22/09/2021 19:00
Wednesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
 Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
 Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,TOA,"22/09/2021 07:00
Wednesday","22/09/2021 17:00
Wednesday",Ararat - Crowland 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
 Load shedding in the Victorian outer grid
 Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"23/09/2021 07:00
Thursday","23/09/2021 19:00
Thursday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
 Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
 Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"28/09/2021 06:45
Tuesday","28/09/2021 17:00
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 1 hr-Night: NA,Planned - SUBMIT
VIC,AusNet,"29/09/2021 07:00
Wednesday","29/09/2021 19:00
Wednesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
 Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
 Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT
VIC,AusNet,"01/10/2021 06:45
Friday","01/10/2021 17:00
Friday",South Morang - Sydenham No.1 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
 Cause a large reduction in generation in Victoria
 Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 1 hr-Night: NA,Planned - SUBMIT
